Word,PI Score,Tf-Idf,Loc Ind,Loc Sig,Section
Underflow,0.596218068482,0.00039668374265014813,0 5 6 7 15 10 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-4'
exponent,0.611656546139,0.00044158033457111534,0 5 6 7 11 1 23,TaggedPDF-doc Part Sect Sect P statement word,'4-4'
complement,0.581196986465,0.00035386698249433436,0 5 6 7 15 3 1 0 4,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-4'
format,0.304737337889,0.00010582941505688714,0 5 6 7 15 6 1 0 3,TaggedPDF-doc Part Sect Sect L L LI statement word,'4-4'
integer,0.622304544355,0.0005004866682089327,0 5 6 7 13 0 7,TaggedPDF-doc Part Sect Sect P statement word,'4-4'
Shift,0.622396993232,0.0005009981093550296,0 5 6 7 3 0 2,TaggedPDF-doc Part Sect Sect P statement word,'4-4'
computation,0.779939154227,0.0016705620739003446,0 5 6 8 11 0 4,TaggedPDF-doc Part Sect Sect P statement word,'4-5'
multiplication,0.55133687339,0.0002797938454647994,0 5 6 8 14 2 0 1 0 1,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'4-5'
redundant,0.587290434037,0.0003712360164222988,0 5 6 8 12 0 8,TaggedPDF-doc Part Sect Sect P statement word,'4-5'
Computation,0.502462157279,0.00020962160794377188,0 5 6 8 4 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-5'
Sticky,0.3879037393,0.00013892481922242808,0 5 6 8 14 3 0 1 0 0,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'4-5'
selection,0.614147470388,0.0004553605035638913,0 5 6 8 14 0 1 0 1,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-5'
Fraction,1.0,0.004857178704681507,0 5 6 8 3 0 0,TaggedPDF-doc Part Sect Sect P statement word,'4-5'
Divide,0.659018753535,0.0007084847785516599,0 5 6 8 17 2 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-5'
Division,0.61712319174,0.00047182264332577915,0 5 6 8 18 1 0,TaggedPDF-doc Part Sect Sect P statement word,'4-5'
IV,0.915266365899,0.0035069867654852066,0 5 6 8 17 0 1 0 1,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-5'
Multiplication,0.610242071838,0.00043665838545014026,0 5 6 8 0 1 0,TaggedPDF-doc Part Sect Sect H4 statement word,'4-5'
simpler,0.467939494695,0.0001856180082111494,0 5 6 8 9 0 1 0 7,TaggedPDF-doc Part Sect Sect L L LI statement word,'4-5'
issue,0.632493593199,0.0005568540246334482,0 5 5 9 3 0 6,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
clock,0.521745611958,0.0002289782915974451,0 5 5 9 14 1 5,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
section,0.230273854817,8.10900457999533e-05,0 5 5 9 3 2 5,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
wait,0.364034938609,0.00012778323478867463,0 5 5 9 3 0 2,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
extra,0.340639991709,0.00011795566083144479,0 5 5 9 3 1 5,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
stream,0.44158170406,0.00016699936978500986,0 5 5 9 18 0 5,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
Instruction,0.492110671923,0.0002024242224433314,0 5 5 9 0 1 0,TaggedPDF-doc Part Sect Sect H4 statement word,'2-4'
process,0.290356988368,0.0001012121112216657,0 5 5 9 3 1 12,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
information,0.632987734865,0.0005595876909295988,0 5 5 9 3 2 2,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
diagram,0.599082429576,0.0004048484448866628,0 5 5 9 16 0 2,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
linear,0.4154582475,0.0001517868345212971,0 5 5 9 14 0 10,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
initiate,0.502462157279,0.00020962160794377188,0 5 5 9 3 1 9,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
instruction,0.718299674459,0.001127424733185868,0 5 5 9 2 1 3,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
rate,0.563552961473,0.0003035736690425942,0 5 5 9 0 1 2,TaggedPDF-doc Part Sect Sect H4 statement word,'2-4'
fashion,0.467939494695,0.0001856180082111494,0 5 5 9 14 0 12,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
subsequent,0.340639991709,0.00011795566083144479,0 5 5 9 2 1 5,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
cycle,0.369066765888,0.0001301320133975728,0 5 5 9 14 1 16,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
scheduler,0.502462157279,0.00020962160794377188,0 5 5 9 3 0 0,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
Example,0.413058876156,0.00015066684534536552,0 5 5 9 18 0 1,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
processing,0.171757573406,5.560962980099252e-05,0 5 5 9 14 0 6,TaggedPDF-doc Part Sect Sect P statement word,'2-4'
AX,0.724182041512,0.001168995588495069,0 5 5 9 4 5 1 0 0,TaggedPDF-doc Part Sect Sect Table TR TD statement word,'2-4'
Shifter,0.340639991709,0.00011795566083144479,0 5 5 8 4 3 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
amount,0.623312088786,0.0005060605561083285,0 5 5 8 4 6 1 0 12,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Negation,0.604132438849,0.00041924321588754376,0 5 5 8 2 0 17,TaggedPDF-doc Part Sect Sect P statement word,'2-3'
Adder,0.4154582475,0.0001517868345212971,0 5 5 8 4 0 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Stage,0.4154582475,0.0001517868345212971,0 5 5 8 4 6 1 0 7,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
checker,0.502462157279,0.00020962160794377188,0 5 5 8 4 6 1 0 6,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Comparator,0.4154582475,0.0001517868345212971,0 5 5 8 4 4 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Accumulator,0.502462157279,0.00020962160794377188,0 5 5 8 4 6 1 0 24,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
formatter,0.502462157279,0.00020962160794377188,0 5 5 8 4 6 1 0 28,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Counter,0.467939494695,0.0001856180082111494,0 5 5 8 4 5 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Result,0.166147094613,5.13298229400603e-05,0 5 5 8 4 6 1 0 27,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
logic,0.53006813751,0.00024327013739985993,0 5 5 8 4 6 1 0 19,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Multiplier,0.290356988368,0.0001012121112216657,0 5 5 8 4 2 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
pipeline,0.56276712671,0.00030133369069073105,0 5 5 8 4 7 1 0 2,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Subtraction,0.55020470944,0.00027784963844485616,0 5 5 8 2 0 5,TaggedPDF-doc Part Sect Sect P statement word,'2-3'
Left,0.44158170406,0.00016699936978500986,0 5 5 8 4 3 1 0 2,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'2-3'
Major,0.604132438849,0.00041924321588754376,0 5 5 8 0 1 3,TaggedPDF-doc Part Sect Sect H4 statement word,'2-3'
condition,0.267745944774,9.395206109882233e-05,0 5 6 3 1 0 3,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
zero,0.537859075222,0.00025664911470030146,0 5 6 3 10 0 1 0 3,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-3'
divide,0.471227449113,0.00018790412219764466,0 5 6 3 10 0 1 0 1,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-3'
Inexact,0.673510796434,0.0008109004579995331,0 5 6 3 6 0 26,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
minimum,0.563574945631,0.0003036363336649971,0 5 6 3 6 0 10,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
fit,0.434976647205,0.0001621800915999066,0 5 6 3 3 1 22,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
return,0.3879037393,0.00013892481922242808,0 5 6 3 11 1 13,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
simplify,0.44158170406,0.00016699936978500986,0 5 6 3 5 0 3,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
class,0.4154582475,0.0001517868345212971,0 5 6 3 1 1 17,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
underflow,0.676024892922,0.0008286676493995105,0 5 6 3 4 0 2,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
detect,0.3879037393,0.00013892481922242808,0 5 6 3 9 0 4,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
Recall,0.502462157279,0.00020962160794377188,0 5 6 3 5 0 0,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
deliver,0.467939494695,0.0001856180082111494,0 5 6 3 1 0 12,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
exception,0.807455964868,0.0019461610991988794,0 5 6 3 1 1 19,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
Gradual,0.502462157279,0.00020962160794377188,0 5 6 3 4 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
status,0.294865258795,0.0001026596458801206,0 5 6 3 1 1 13,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
continue,0.364034938609,0.00012778323478867463,0 5 6 3 1 0 16,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
output,0.15356212134,4.172970556205078e-05,0 5 6 3 6 0 7,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
nonzero,0.467939494695,0.0001856180082111494,0 5 6 3 3 1 5,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
Overflow,0.582301511014,0.00035701536838513335,0 5 6 3 2 0 0 1 0 0,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'3-3'
support,0.455015753556,0.00017663213382844615,0 5 6 3 5 0 11,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
form,0.267745944774,9.395206109882233e-05,0 5 6 3 3 0 17,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
overflow,0.56276712671,0.00030133369069073105,0 5 6 3 2 0 1 0 1,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-3'
default,0.471227449113,0.00018790412219764466,0 5 6 3 11 1 1,TaggedPDF-doc Part Sect Sect P statement word,'3-3'
GR,0.502462157279,0.00020962160794377188,0 5 6 2 7 0 4,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
error,0.471227449113,0.00018790412219764466,0 5 6 2 3 0 1 0 16,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'3-2'
LG,0.502462157279,0.00020962160794377188,0 5 6 2 7 0 2,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
mode,0.246739986538,8.675467559838186e-05,0 5 6 2 2 1 4,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
place,0.563552961473,0.0003035736690425942,0 5 6 2 3 0 1 0 15,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'3-2'
get,0.364034938609,0.00012778323478867463,0 5 6 2 3 0 1 0 9,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'3-2'
Roundup,0.587290434037,0.0003712360164222988,0 5 6 2 5 0 4 0 0,TaggedPDF-doc Part Sect Sect Table TR TH statement word,'3-2'
Round,0.675603496064,0.0008256896258201135,0 5 6 2 1 3 9,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
Truth,0.502462157279,0.00020962160794377188,0 5 6 2 6 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
halfway,0.4154582475,0.0001517868345212971,0 5 6 2 4 0 5,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
tie,0.690093379044,0.0009280900410557469,0 5 6 2 2 1 16,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
approximate,0.44158170406,0.00016699936978500986,0 5 6 2 1 0 13,TaggedPDF-doc Part Sect Sect P statement word,'3-2'
represent,0.471227449113,0.00018790412219764466,0 5 6 1 5 0 16,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
sign,0.539964135597,0.0002602640267951456,0 5 6 1 18 0 1 0 2,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
method,0.571944677328,0.0003274937890876052,0 5 6 1 5 1 12,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
implicit,0.364034938609,0.00012778323478867463,0 5 6 1 11 3 5,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
quotient,0.666157453262,0.0007589341726064854,0 5 6 10 1 0 17,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
family,0.3879037393,0.00013892481922242808,0 5 6 1 21 1 11,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
use,0.223736560101,7.886914115735315e-05,0 5 6 1 5 1 5,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
distinct,0.4154582475,0.0001517868345212971,0 5 6 1 18 0 1 0 13,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
Summary,0.290356988368,0.0001012121112216657,0 5 6 10 42 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
word,0.247931095488,8.727346239388248e-05,0 5 6 1 1 0 24,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
caveat,0.530174496151,0.00024345278163362416,0 5 6 1 21 3 35,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
example,0.389986292734,0.0001398969227323997,0 5 6 1 18 0 1 5 1,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
Zero,0.649132085802,0.0006489006775960058,0 5 6 1 12 3 0 0 1,TaggedPDF-doc Part Sect Sect Table TR TD statement word,'3-1'
delay,0.315124584344,0.00010916459636253507,0 5 6 1 25 1 15,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
answer,0.467939494695,0.0001856180082111494,0 5 6 1 18 0 1 2 20,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
designer,0.44158170406,0.00016699936978500986,0 5 6 1 1 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
produce,0.570845337936,0.0003243601831998132,0 5 6 10 1 0 15,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
allow,0.340639991709,0.00011795566083144479,0 5 6 1 24 0 13,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
representation,0.641607343526,0.0006072726673299942,0 5 6 1 5 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
committee,0.502462157279,0.00020962160794377188,0 5 6 1 18 0 1 6 3,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
chosen,0.4154582475,0.0001517868345212971,0 5 6 1 5 0 14,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
hidden,0.3879037393,0.00013892481922242808,0 5 6 1 11 1 10,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Implementation,0.267745944774,9.395206109882233e-05,0 5 6 10 0 1 0,TaggedPDF-doc Part Sect Sect H4 statement word,'3-1'
operand,0.686375164223,0.00090181331113455,0 5 6 1 21 2 19,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
cause,0.471227449113,0.00018790412219764466,0 5 6 1 22 0 10,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
discontinuity,0.502462157279,0.00020962160794377188,0 5 6 1 18 0 1 3 15,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
reason,0.574226760193,0.0003339987395700197,0 5 6 1 5 5 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
number,0.555175034975,0.00028638492328015837,0 5 6 1 7 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
size,0.604694805874,0.00042084621186279,0 5 6 1 1 1 9,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
compromise,0.502462157279,0.00020962160794377188,0 5 6 1 1 0 9,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
part,0.183923472953,6.489006775960058e-05,0 5 6 1 25 1 5,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
simulate,0.467939494695,0.0001856180082111494,0 5 6 1 25 2 30,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
false,0.502462157279,0.00020962160794377188,0 5 6 1 18 0 1 5 15,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
min,0.467939494695,0.0001856180082111494,0 5 6 1 8 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
performance,0.394013191432,0.00014177661633030302,0 5 6 10 1 3 33,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
accuracy,0.389986292734,0.0001398969227323997,0 5 6 1 1 1 14,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
relation,0.502462157279,0.00020962160794377188,0 5 6 1 18 0 1 5 6,TaggedPDF-doc Part Sect Sect L L LI statement word,'3-1'
EXP,0.44158170406,0.00016699936978500986,0 5 6 1 4 1 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'3-1'
find,0.4154582475,0.0001517868345212971,0 5 6 1 1 0 7,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
completion,0.340639991709,0.00011795566083144479,0 5 6 10 1 5 10,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
architecture,0.620343744892,0.0004896392295633989,0 5 6 10 1 3 38,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
efficiency,0.467939494695,0.0001856180082111494,0 5 6 10 1 3 29,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
whole,0.3879037393,0.00013892481922242808,0 5 6 1 21 1 10,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
maximize,0.502462157279,0.00020962160794377188,0 5 6 10 1 3 26,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
approval,0.502462157279,0.00020962160794377188,0 5 6 1 25 1 18,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
waste,0.502462157279,0.00020962160794377188,0 5 6 1 11 0 23,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
precision,0.208855639174,7.381366977206755e-05,0 5 6 1 26 0 12,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
case,0.452016746368,0.00017454692478776495,0 5 6 1 5 2 2,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
trick,0.502462157279,0.00020962160794377188,0 5 6 1 11 1 4,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
bias,0.315124584344,0.00010916459636253507,0 5 6 1 5 2 15,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Zeros,0.467939494695,0.0001856180082111494,0 5 6 1 18 0 0 1 0 0,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'3-1'
unique,0.44158170406,0.00016699936978500986,0 5 6 1 21 1 5,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Quotient,0.3879037393,0.00013892481922242808,0 5 6 10 39 0 0,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Therefore,0.537228621898,0.00025556646957734927,0 5 6 1 11 3 0,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
range,0.528445432634,0.00024048354963588002,0 5 6 1 1 1 27,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Infinity,0.540870446038,0.00026182038718164743,0 5 6 1 12 7 0 0 1,TaggedPDF-doc Part Sect Sect Table TR TD statement word,'3-1'
area,0.343271362654,0.00011900512279504445,0 5 6 10 1 2 20,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
mantissa,0.315124584344,0.00010916459636253507,0 5 6 1 10 0 8,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Real,0.44158170406,0.00016699936978500986,0 5 6 1 16 0 0,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
storage,0.340639991709,0.00011795566083144479,0 5 6 1 11 0 27,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
structure,0.44158170406,0.00016699936978500986,0 5 6 10 3 0 2,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
Hardware,0.340639991709,0.00011795566083144479,0 5 6 10 3 0 1,TaggedPDF-doc Part Sect Sect P statement word,'3-1'
quotient,0.666157453262,0.0007589341726064854,0 5 6 10 1 0 17,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
Summary,0.290356988368,0.0001012121112216657,0 5 6 10 42 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
produce,0.570845337936,0.0003243601831998132,0 5 6 10 1 0 15,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
Implementation,0.267745944774,9.395206109882233e-05,0 5 6 10 0 1 0,TaggedPDF-doc Part Sect Sect H4 statement word,'4-6-2'
performance,0.394013191432,0.00014177661633030302,0 5 6 10 1 3 33,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
completion,0.340639991709,0.00011795566083144479,0 5 6 10 1 5 10,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
architecture,0.620343744892,0.0004896392295633989,0 5 6 10 1 3 38,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
efficiency,0.467939494695,0.0001856180082111494,0 5 6 10 1 3 29,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
maximize,0.502462157279,0.00020962160794377188,0 5 6 10 1 3 26,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
Quotient,0.3879037393,0.00013892481922242808,0 5 6 10 39 0 0,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
area,0.343271362654,0.00011900512279504445,0 5 6 10 1 2 20,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
structure,0.44158170406,0.00016699936978500986,0 5 6 10 3 0 2,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
Hardware,0.340639991709,0.00011795566083144479,0 5 6 10 3 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-6-2'
calculate,0.563552961473,0.0003035736690425942,0 5 6 9 1 1 1,TaggedPDF-doc Part Sect Sect P statement word,'4-6-1'
division,0.778704458943,0.0016581957854837671,0 5 6 9 24 4 1 1 15,TaggedPDF-doc Part Sect Sect L L LI statement word,'4-6-1'
approximation,0.467939494695,0.0001856180082111494,0 5 6 9 5 0 5,TaggedPDF-doc Part Sect Sect P statement word,'4-6-1'
Algorithm,0.4154582475,0.0001517868345212971,0 5 6 9 0 1 0,TaggedPDF-doc Part Sect Sect H4 statement word,'4-6-1'
access,0.267745944774,9.395206109882233e-05,0 5 6 9 20 0 0 1 0 1,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'4-6-1'
component,0.315124584344,0.00010916459636253507,0 5 6 9 1 0 4,TaggedPDF-doc Part Sect Sect P statement word,'4-6-1'
